Hello world!
current zero: 3
pid init done!
pos: 8, u: -6073, i: 1040
pos: 1628, u: 10000, i: 1696
pos: 1636, u: 10000, i: 2080
pos: 1645, u: 10000, i: 1952
pos: 1653, u: 10000, i: 1776
pos: 1661, u: 10000, i: 1680
pos: 1669, u: 10000, i: 2160
pos: 1677, u: 10000, i: 1920
pos: 1685, u: 10000, i: 1776
pos: 1693, u: 10000, i: 1968
pos: 1701, u: 10000, i: 2080
pos: 1709, u: 10000, i: 1920
pos: 1717, u: 10000, i: 1728
pos: 1726, u: 10000, i: 2064
pos: 1734, u: 10000, i: 2016
pos: 1742, u: 10000, i: 1760
pos: 1750, u: 10000, i: 1680
pos: 1758, u: 10000, i: 2176
pos: 1766, u: 10000, i: 2000
pos: 1774, u: 10000, i: 1760
pos: 1782, u: 10000, i: 1776
pos: 1790, u: 10000, i: 2192
pos: 1798, u: 10000, i: 1936
pos: 1806, u: 10000, i: 1792
pos: 1814, u: 10000, i: 2288
pos: 1822, u: 10000, i: 1936
pos: 1830, u: 10000, i: 1888
pos: 1838, u: 10000, i: 2240
pos: 1846, u: 10000, i: 1888
pos: 1854, u: 10000, i: 2256
pos: 1862, u: 10000, i: 2112
pos: 1870, u: 10000, i: 1824
pos: 1878, u: 10000, i: 2288
pos: 1886, u: 10000, i: 2080
pos: 1894, u: 10000, i: 1776
pos: 1902, u: 10000, i: 2080
pos: 1910, u: 10000, i: 2032
pos: 1918, u: 10000, i: 1728
pos: 1926, u: 10000, i: 1728
pos: 1934, u: 10000, i: 2096
pos: 1942, u: 10000, i: 2000
pos: 1950, u: 10000, i: 1840
pos: 1959, u: 10000, i: 1680
pos: 1967, u: 10000, i: 1952
pos: 1975, u: 10000, i: 2032
pos: 1983, u: 10000, i: 1808
pos: 1991, u: 10000, i: 1696
pos: 1999, u: 10000, i: 2016
pos: 2007, u: 10000, i: 2000
pos: 2015, u: 10000, i: 1840
pos: 2023, u: 10000, i: 1712
pos: 2031, u: 10000, i: 2016
pos: 2040, u: 10000, i: 1984
pos: 2048, u: 10000, i: 1760
pos: 2056, u: 10000, i: 1728
pos: 2064, u: 10000, i: 2208
pos: 2072, u: 10000, i: 1984
pos: 2080, u: 10000, i: 1728
pos: 2088, u: 10000, i: 1600
pos: 2096, u: 10000, i: 2032
pos: 2104, u: 10000, i: 2064
pos: 2112, u: 10000, i: 1808
pos: 2120, u: 10000, i: 1744
pos: 2128, u: 10000, i: 2112
pos: 2137, u: 10000, i: 1968
pos: 2145, u: 10000, i: 1840
pos: 2153, u: 10000, i: 1696
pos: 2161, u: 10000, i: 2128
pos: 2169, u: 10000, i: 1936
pos: 2177, u: 10000, i: 1776
pos: 2185, u: 10000, i: 2160
pos: 2193, u: 10000, i: 2096
pos: 2201, u: 10000, i: 1888
pos: 2209, u: 10000, i: 2160
pos: 2217, u: 10000, i: 2144
pos: 2225, u: 10000, i: 1872
pos: 2233, u: 10000, i: 2080
pos: 2241, u: 10000, i: 2112
pos: 2249, u: 10000, i: 1856
pos: 2257, u: 10000, i: 1728
pos: 2265, u: 10000, i: 2112
pos: 2273, u: 10000, i: 2000
pos: 2281, u: 10000, i: 1792
pos: 2289, u: 10000, i: 2128
pos: 2297, u: 10000, i: 2112
pos: 2305, u: 10000, i: 1792
pos: 2314, u: 10000, i: 1840
pos: 2322, u: 10000, i: 2176
pos: 2330, u: 10000, i: 1856
pos: 2338, u: 10000, i: 1728
pos: 2346, u: 10000, i: 2192
pos: 2354, u: 10000, i: 1968
pos: 2362, u: 10000, i: 1776
pos: 2370, u: 10000, i: 2080
pos: 2378, u: 10000, i: 2096
pos: 2386, u: 10000, i: 1824
pos: 2394, u: 10000, i: 1696
pos: 2402, u: 10000, i: 2144
pos: 2410, u: 10000, i: 2032
pos: 2418, u: 10000, i: 1792
pos: 2427, u: 10000, i: 1696
pos: 2435, u: 10000, i: 2016
pos: 2443, u: 10000, i: 2032
pos: 2451, u: 10000, i: 1856
pos: 2459, u: 10000, i: 1696
pos: 2467, u: 10000, i: 2112
pos: 2475, u: 10000, i: 2000
pos: 2483, u: 10000, i: 1760
pos: 2491, u: 10000, i: 1680
pos: 2499, u: 10000, i: 2112
pos: 2508, u: 10000, i: 1952
pos: 2515, u: 10000, i: 1776
pos: 2523, u: 10000, i: 2032
pos: 2532, u: 10000, i: 2064
pos: 2539, u: 10000, i: 1840
pos: 2547, u: 10000, i: 1760
pos: 2556, u: 10000, i: 2192
pos: 2564, u: 10000, i: 1904
pos: 2572, u: 10000, i: 1776
pos: 2580, u: 10000, i: 2320
pos: 2587, u: 10000, i: 1968
pos: 2595, u: 10000, i: 1808
pos: 2604, u: 10000, i: 2240
pos: 2612, u: 10000, i: 1904
pos: 2620, u: 10000, i: 1776
pos: 2628, u: 10000, i: 2272
pos: 2636, u: 10000, i: 1984
pos: 2644, u: 10000, i: 1840
pos: 2652, u: 10000, i: 2256
pos: 2660, u: 10000, i: 2032
pos: 2668, u: 10000, i: 1840
pos: 2676, u: 10000, i: 2128
pos: 2684, u: 10000, i: 2096
pos: 2692, u: 10000, i: 1840
pos: 2700, u: 10000, i: 1664
pos: 2708, u: 10000, i: 2144
pos: 2716, u: 10000, i: 2000
pos: 2724, u: 10000, i: 1776
pos: 2732, u: 10000, i: 1696
pos: 2741, u: 10000, i: 1920
pos: 2749, u: 10000, i: 2032
pos: 2757, u: 10000, i: 1872
pos: 2765, u: 10000, i: 1712
pos: 2773, u: 10000, i: 1872
pos: 2781, u: 10000, i: 2016
pos: 2789, u: 10000, i: 1840
pos: 2797, u: 10000, i: 1744
pos: 2806, u: 10000, i: 1616
pos: 2814, u: 10000, i: 2080
pos: 2822, u: 10000, i: 2000
pos: 2830, u: 10000, i: 1744
pos: 2838, u: 10000, i: 1712
pos: 2846, u: 10000, i: 2128
pos: 2854, u: 10000, i: 2000
pos: 2862, u: 10000, i: 1872
pos: 2871, u: 10000, i: 1760
pos: 2878, u: 10000, i: 2048
pos: 2886, u: 10000, i: 2080
pos: 2895, u: 10000, i: 1808
pos: 2903, u: 10000, i: 1792
pos: 2911, u: 10000, i: 2128
pos: 2919, u: 10000, i: 1904
pos: 2927, u: 10000, i: 1792
pos: 2935, u: 10000, i: 2080
pos: 2943, u: 10000, i: 2016
pos: 2951, u: 10000, i: 1824
pos: 2959, u: 10000, i: 1664
pos: 2967, u: 10000, i: 2080
pos: 2976, u: 10000, i: 2064
pos: 2983, u: 10000, i: 1824
pos: 2991, u: 10000, i: 2096
pos: 3000, u: 10000, i: 2112
pos: 3007, u: 10000, i: 1872
pos: 3015, u: 10000, i: 2032
pos: 3024, u: 10000, i: 2112
pos: 3031, u: 10000, i: 1872
pos: 3039, u: 10000, i: 1856
pos: 3048, u: 10000, i: 2176
pos: 3055, u: 10000, i: 1920
pos: 3063, u: 10000, i: 1792
pos: 3072, u: 10000, i: 2240
pos: 3080, u: 10000, i: 1952
pos: 3088, u: 10000, i: 1776
pos: 3096, u: 10000, i: 2224
pos: 3104, u: 10000, i: 2096
pos: 3112, u: 10000, i: 1824
pos: 3120, u: 10000, i: 1824
pos: 3128, u: 10000, i: 2128
pos: 3136, u: 10000, i: 1872
pos: 3144, u: 10000, i: 1760
pos: 3152, u: 10000, i: 1856
pos: 3160, u: 10000, i: 2096
pos: 3169, u: 10000, i: 1904
pos: 3177, u: 10000, i: 1776
pos: 3185, u: 10000, i: 1728
pos: 3193, u: 10000, i: 2096
pos: 3201, u: 10000, i: 2016
pos: 3209, u: 10000, i: 1824
pos: 3217, u: 10000, i: 1712
pos: 3226, u: 10000, i: 1952
pos: 3234, u: 10000, i: 2096
pos: 3242, u: 10000, i: 1856
pos: 3250, u: 10000, i: 1776
pos: 3258, u: 10000, i: 2048
pos: 3266, u: 10000, i: 2080
pos: 3274, u: 10000, i: 1936
pos: 3282, u: 10000, i: 1824
pos: 3290, u: 10000, i: 2176
pos: 3298, u: 10000, i: 1952
pos: 3306, u: 10000, i: 1792
pos: 3315, u: 10000, i: 1728
pos: 3322, u: 10000, i: 2096
pos: 3331, u: 10000, i: 2016
pos: 3339, u: 10000, i: 1872
pos: 3347, u: 10000, i: 1728
pos: 3355, u: 10000, i: 2080
pos: 3363, u: 10000, i: 2000
pos: 3371, u: 10000, i: 1776
pos: 3379, u: 10000, i: 2112
pos: 3387, u: 10000, i: 2080
pos: 3395, u: 10000, i: 1824
pos: 3403, u: 10000, i: 1840
pos: 3411, u: 10000, i: 2176
pos: 3419, u: 10000, i: 1904
pos: 3427, u: 10000, i: 1776
pos: 3435, u: 10000, i: 2160
pos: 3443, u: 10000, i: 1968
pos: 3451, u: 10000, i: 1824
pos: 3459, u: 10000, i: 2064
pos: 3468, u: 10000, i: 2016
pos: 3476, u: 10000, i: 1824
pos: 3484, u: 10000, i: 1664
pos: 3492, u: 10000, i: 2032
pos: 3500, u: 10000, i: 2064
pos: 3508, u: 10000, i: 1824
pos: 3516, u: 10000, i: 1728
pos: 3524, u: 10000, i: 1888
pos: 3532, u: 10000, i: 2080
pos: 3541, u: 10000, i: 1872
pos: 3549, u: 10000, i: 1728
pos: 3557, u: 10000, i: 1680
pos: 3565, u: 10000, i: 2080
pos: 3573, u: 10000, i: 1952
pos: 3581, u: 10000, i: 1824
pos: 3589, u: 10000, i: 1680
pos: 3598, u: 10000, i: 2064
pos: 3605, u: 10000, i: 1984
pos: 3614, u: 10000, i: 1744
pos: 3622, u: 10000, i: 1760
pos: 3630, u: 10000, i: 2112
pos: 3638, u: 10000, i: 2016
pos: 3646, u: 10000, i: 1776
pos: 3654, u: 10000, i: 1712
pos: 3662, u: 10000, i: 1760
pos: 3670, u: 10000, i: 2112
pos: 3678, u: 10000, i: 1888
pos: 3687, u: 10000, i: 1824
pos: 3695, u: 10000, i: 1984
pos: 3703, u: 10000, i: 2080
pos: 3711, u: 10000, i: 1904
pos: 3719, u: 10000, i: 1744
pos: 3727, u: 10000, i: 2080
pos: 3735, u: 10000, i: 2016
pos: 3743, u: 10000, i: 1792
pos: 3751, u: 10000, i: 1744
pos: 3759, u: 10000, i: 2208
pos: 3767, u: 10000, i: 1952
pos: 3775, u: 10000, i: 1824
pos: 3783, u: 10000, i: 2160
pos: 3792, u: 10000, i: 1984
pos: 3799, u: 10000, i: 1856
pos: 3807, u: 10000, i: 1968
pos: 3816, u: 10000, i: 2080
pos: 3824, u: 10000, i: 1856
pos: 3832, u: 10000, i: 1760
pos: 3840, u: 10000, i: 2224
pos: 3848, u: 10000, i: 2032
pos: 3856, u: 10000, i: 1808
pos: 3864, u: 10000, i: 1728
pos: 3872, u: 10000, i: 2112
pos: 3880, u: 10000, i: 1968
pos: 3888, u: 10000, i: 1792
pos: 3896, u: 10000, i: 1696
pos: 3904, u: 10000, i: 2032
pos: 3913, u: 10000, i: 1968
pos: 3921, u: 10000, i: 1808
pos: 3929, u: 10000, i: 1792
pos: 3937, u: 10000, i: 2016
pos: 3945, u: 10000, i: 2032
pos: 3953, u: 10000, i: 1808
pos: 3961, u: 10000, i: 1664
pos: 3970, u: 10000, i: 1664
pos: 3978, u: 10000, i: 2096
pos: 3986, u: 10000, i: 1888
pos: 3994, u: 10000, i: 1696
pos: 4002, u: 10000, i: 1632
pos: 4011, u: 10000, i: 1680
pos: 4018, u: 10000, i: 2048
pos: 4027, u: 10000, i: 1936
pos: 4035, u: 10000, i: 1808
pos: 4043, u: 10000, i: 1728
pos: 4051, u: 10000, i: 2000
pos: 4059, u: 10000, i: 2064
pos: 4067, u: 10000, i: 1792
pos: 4075, u: 10000, i: 1744
pos: 4083, u: 10000, i: 1824
pos: 4092, u: 10000, i: 2048
pos: 4100, u: 10000, i: 1904
pos: 4108, u: 10000, i: 1808
pos: 4116, u: 10000, i: 2016
pos: 4124, u: 10000, i: 2080
pos: 4132, u: 10000, i: 1888
pos: 4140, u: 10000, i: 1760
pos: 4148, u: 10000, i: 2256
pos: 4156, u: 10000, i: 1984
pos: 4164, u: 9977, i: 1776
pos: 4172, u: 9939, i: 2064
pos: 4180, u: 9900, i: 1952
pos: 4188, u: 9862, i: 1696
pos: 4196, u: 9824, i: 1856
pos: 4204, u: 9785, i: 1744
pos: 4212, u: 9747, i: 1776
pos: 4219, u: 9718, i: 1648
pos: 4227, u: 9675, i: 1760
pos: 4234, u: 9646, i: 1616
pos: 4242, u: 9603, i: 1680
pos: 4249, u: 9574, i: 1888
pos: 4257, u: 9531, i: 1392
pos: 4264, u: 9502, i: 1424
pos: 4272, u: 9459, i: 1456
pos: 4279, u: 9430, i: 1440
pos: 4286, u: 9396, i: 1488
pos: 4293, u: 9362, i: 1440
pos: 4300, u: 9329, i: 1440
pos: 4307, u: 9295, i: 1312
pos: 4314, u: 9262, i: 1632
pos: 4321, u: 9228, i: 1744
pos: 4327, u: 9204, i: 1456
pos: 4334, u: 9166, i: 1376
pos: 4341, u: 9132, i: 1584
pos: 4347, u: 9108, i: 1408
pos: 4354, u: 9070, i: 1664
pos: 4360, u: 9045, i: 1504
pos: 4367, u: 9007, i: 1552
pos: 4373, u: 8983, i: 1520
pos: 4380, u: 8945, i: 1552
pos: 4386, u: 8920, i: 1440
pos: 4392, u: 8892, i: 1536
pos: 4398, u: 8863, i: 1536
pos: 4404, u: 8834, i: 1392
pos: 4410, u: 8805, i: 1328
pos: 4416, u: 8776, i: 1248
pos: 4422, u: 8748, i: 1232
pos: 4428, u: 8719, i: 1248
pos: 4434, u: 8690, i: 1472
pos: 4440, u: 8661, i: 1536
pos: 4445, u: 8642, i: 1392
pos: 4451, u: 8608, i: 1312
pos: 4456, u: 8589, i: 1392
pos: 4462, u: 8556, i: 1424
pos: 4468, u: 8527, i: 1280
pos: 4473, u: 8507, i: 1600
pos: 4479, u: 8474, i: 1344
pos: 4484, u: 8454, i: 1408
pos: 4489, u: 8430, i: 1456
pos: 4494, u: 8406, i: 1728
pos: 4500, u: 8373, i: 1408
pos: 4505, u: 8354, i: 1408
pos: 4510, u: 8330, i: 1536
pos: 4515, u: 8306, i: 1232
pos: 4520, u: 8282, i: 1232
pos: 4525, u: 8258, i: 1360
pos: 4530, u: 8234, i: 1520
pos: 4535, u: 8210, i: 1456
pos: 4540, u: 8186, i: 1424
pos: 4544, u: 8171, i: 1472
pos: 4549, u: 8142, i: 1456
pos: 4554, u: 8118, i: 1456
pos: 4558, u: 8104, i: 1424
pos: 4563, u: 8075, i: 1344
pos: 4568, u: 8051, i: 1184
pos: 4572, u: 8036, i: 1136
pos: 4576, u: 8017, i: 1456
pos: 4581, u: 7989, i: 1424
pos: 4585, u: 7974, i: 1248
pos: 4590, u: 7946, i: 1312
pos: 4594, u: 7931, i: 1536
pos: 4598, u: 7912, i: 1392
pos: 4602, u: 7892, i: 1616
pos: 4607, u: 7864, i: 1392
pos: 4611, u: 7849, i: 1520
pos: 4615, u: 7830, i: 1312
pos: 4619, u: 7811, i: 1552
pos: 4623, u: 7792, i: 1248
pos: 4627, u: 7772, i: 1248
pos: 4632, u: 7744, i: 1232
pos: 4635, u: 7738, i: 1120
pos: 4639, u: 7715, i: 1232
pos: 4643, u: 7696, i: 1312
pos: 4647, u: 7676, i: 976
pos: 4651, u: 7657, i: 1008
pos: 4655, u: 7638, i: 1200
pos: 4659, u: 7619, i: 1248
pos: 4662, u: 7609, i: 1136
pos: 4666, u: 7585, i: 1088
pos: 4670, u: 7566, i: 928
pos: 4674, u: 7547, i: 912
pos: 4677, u: 7537, i: 1056
pos: 4681, u: 7513, i: 1120
pos: 4684, u: 7503, i: 1200
pos: 4688, u: 7480, i: 1216
pos: 4692, u: 7460, i: 1296
pos: 4695, u: 7450, i: 1328
pos: 4699, u: 7427, i: 1312
pos: 4702, u: 7417, i: 1328
pos: 4706, u: 7393, i: 1264
pos: 4709, u: 7383, i: 1088
pos: 4712, u: 7369, i: 1024
pos: 4716, u: 7345, i: 1040
pos: 4719, u: 7335, i: 1168
pos: 4722, u: 7321, i: 1008
pos: 4726, u: 7297, i: 1008
pos: 4729, u: 7287, i: 1024
pos: 4732, u: 7273, i: 1056
pos: 4735, u: 7258, i: 864
pos: 4739, u: 7235, i: 832
pos: 4742, u: 7225, i: 1024
pos: 4745, u: 7210, i: 912
pos: 4748, u: 7196, i: 1152
pos: 4751, u: 7182, i: 960
pos: 4754, u: 7167, i: 1040
pos: 4757, u: 7153, i: 880
pos: 4760, u: 7138, i: 1056
pos: 4763, u: 7124, i: 944
pos: 4766, u: 7110, i: 1152
pos: 4768, u: 7104, i: 976
pos: 4771, u: 7086, i: 1136
pos: 4774, u: 7071, i: 1232
pos: 4777, u: 7057, i: 1056
pos: 4780, u: 7042, i: 1152
pos: 4783, u: 7028, i: 960
pos: 4785, u: 7023, i: 1072
pos: 4788, u: 7004, i: 1152
pos: 4791, u: 6990, i: 1264
pos: 4793, u: 6984, i: 1040
pos: 4796, u: 6966, i: 896
pos: 4798, u: 6960, i: 944
pos: 4801, u: 6942, i: 912
pos: 4804, u: 6927, i: 976
pos: 4806, u: 6922, i: 1072
pos: 4808, u: 6912, i: 1104
pos: 4811, u: 6894, i: 1024
pos: 4813, u: 6888, i: 944
pos: 4816, u: 6870, i: 800
pos: 4818, u: 6864, i: 848
pos: 4821, u: 6846, i: 880
pos: 4823, u: 6840, i: 832
pos: 4825, u: 6831, i: 816
pos: 4828, u: 6812, i: 912
pos: 4830, u: 6807, i: 1152
pos: 4832, u: 6797, i: 1456
pos: 4834, u: 6788, i: 1456
pos: 4836, u: 6778, i: 1312
pos: 4839, u: 6759, i: 1152
pos: 4841, u: 6754, i: 1072
pos: 4843, u: 6744, i: 1168
pos: 4845, u: 6735, i: 1120
pos: 4848, u: 6716, i: 1072
pos: 4850, u: 6711, i: 960
pos: 4852, u: 6701, i: 784
pos: 4854, u: 6692, i: 816
pos: 4856, u: 6682, i: 960
pos: 4858, u: 6672, i: 960
pos: 4860, u: 6663, i: 832
pos: 4863, u: 6644, i: 800
pos: 4864, u: 6648, i: 816
pos: 4867, u: 6625, i: 816
pos: 4869, u: 6620, i: 800
pos: 4871, u: 6610, i: 672
pos: 4873, u: 6600, i: 912
pos: 4875, u: 6591, i: 928
pos: 4876, u: 6590, i: 1104
pos: 4878, u: 6576, i: 992
pos: 4880, u: 6567, i: 1152
pos: 4882, u: 6557, i: 1008
pos: 4884, u: 6548, i: 1056
pos: 4885, u: 6547, i: 1104
pos: 4887, u: 6533, i: 944
pos: 4889, u: 6524, i: 1120
pos: 4891, u: 6514, i: 976
pos: 4893, u: 6504, i: 1072
pos: 4894, u: 6504, i: 944
pos: 4896, u: 6490, i: 960
pos: 4898, u: 6480, i: 1056
pos: 4899, u: 6480, i: 880
pos: 4901, u: 6486, i: 976
pos: 4903, u: 6496, i: 816
pos: 4904, u: 6514, i: 864
pos: 4906, u: 6519, i: 896
pos: 4908, u: 6528, i: 832
pos: 4910, u: 6536, i: 928
pos: 4911, u: 6554, i: 816
pos: 4913, u: 6557, i: 960
pos: 4915, u: 6565, i: 880
pos: 4916, u: 6581, i: 1056
pos: 4918, u: 6583, i: 1024
pos: 4920, u: 6590, i: 1072
pos: 4921, u: 6605, i: 1296
pos: 4923, u: 6607, i: 1120
pos: 4925, u: 6612, i: 1248
pos: 4927, u: 6617, i: 1152
pos: 4929, u: 6622, i: 1280
pos: 4930, u: 6635, i: 1104
pos: 4933, u: 6625, i: 1360
pos: 4934, u: 6643, i: 1200
